Country,Region,Electricity_generated_kW,Education_expenditure_percent_GDP,Energy_consumption_per_capita_BtuPerPerson,Reserves_of_foreign_exchange_dollars
HONDURAS,Central America and the Caribbean,3334000.0,6.4,16642000.0,7543000000.0
"CONGO, DEMOCRATIC REPUBLIC OF THE",Africa,3229000.0,2.7,1305000.0,5104000000.0
ESTONIA,Europe,3225000.0,6.6,73679000.0,2054000000.0
MOZAMBIQUE,Africa,2860000.0,6.3,5789000.0,3513000000.0
ALBANIA,Europe,2857000.0,3.1,27407000.0,6455000000.0
NEPAL,South Asia,2853000.0,4.2,6604000.0,12456000000.0
EL SALVADOR,Central America and the Caribbean,2803000.0,4.1,24421000.0,3590000000.0
ZIMBABWE,Africa,2491000.0,3.9,10855000.0,261373000.0
BHUTAN,South Asia,2344000.0,7.0,64082000.0,928229000.0
COTE D'IVOIRE,Africa,2315000.0,3.4,8489000.0,6257000000.0
CYPRUS,Europe,2288000.0,6.1,107188000.0,921269000.0
LUXEMBOURG,Europe,2212000.0,5.0,224651000.0,2602000000.0
NICARAGUA,Central America and the Caribbean,1849000.0,4.6,10660000.0,6105000000.0
TANZANIA,Africa,1818000.0,3.3,4091000.0,5050000000.0
CAMEROON,Africa,1798000.0,3.2,4271000.0,4882000000.0
SENEGAL,Africa,1772000.0,5.5,8303000.0,1827000000.0
MONGOLIA,East and Southeast Asia,1510000.0,4.7,67132000.0,4891000000.0
UGANDA,Africa,1452000.0,2.7,2252000.0,3359000000.0
JAMAICA,Central America and the Caribbean,1242000.0,6.0,42095000.0,4869000000.0
MALI,Africa,1222000.0,4.4,4307000.0,647800000.0
PAPUA NEW GUINEA,East and Southeast Asia,1148000.0,1.4,8781000.0,3901000000.0
GUINEA,Africa,1060000.0,2.2,5235000.0,1887000000.0
MAURITIUS,Africa,955000.0,4.9,60188000.0,7465000000.0
BRUNEI,East and Southeast Asia,904000.0,4.4,403365000.0,4032000000.0
"CONGO, REPUBLIC OF THE",Africa,842000.0,4.5,7351000.0,715391000.0
MALTA,Europe,829000.0,5.9,234698000.0,1402000000.0
MAURITANIA,Africa,812000.0,1.9,14135000.0,2039000000.0
GABON,Africa,785000.0,3.2,22101000.0,1447000000.0
MOLDOVA,Europe,779000.0,6.4,35686000.0,5477000000.0
MADAGASCAR,Africa,759000.0,3.1,1816000.0,2785000000.0
BOTSWANA,Africa,758000.0,8.7,32443000.0,4756000000.0
BURKINA FASO,Africa,749000.0,5.5,3481000.0,49000000.0
MALAWI,Africa,731000.0,2.9,1792000.0,594498000.0
NAMIBIA,Africa,646000.0,9.6,21734000.0,3356000000.0
AFGHANISTAN,South Asia,627000.0,2.9,3380000.0,9749000000.0
"BAHAMAS, THE",Central America and the Caribbean,608000.0,2.8,104409000.0,2512000000.0
SURINAME,South America,537000.0,5.0,60896000.0,1530000000.0
BENIN,Africa,505000.0,3.0,6472000.0,698900000.0
HAITI,Central America and the Caribbean,472000.0,1.4,3486000.0,2566000000.0
MALDIVES,South Asia,432000.0,5.8,50886000.0,673203000.0
FIJI,Australia and Oceania,427000.0,5.7,25375000.0,1597000000.0
MACAU,East and Southeast Asia,427000.0,6.3,64641000.0,29392000000.0
NIGER,Africa,377000.0,3.8,1772000.0,1314000000.0
WEST BANK,Middle East,352000.0,5.3,14991000.0,1328000000.0
GAZA STRIP,Middle East,352000.0,5.3,14991000.0,1328000000.0
TOGO,Africa,326000.0,4.0,4538000.0,77800000.0
BARBADOS,Central America and the Caribbean,320000.0,6.5,68293000.0,1606000000.0
ARUBA,Central America and the Caribbean,305000.0,5.5,153952000.0,1468000000.0
RWANDA,Africa,294000.0,3.8,1808000.0,2406000000.0
ESWATINI,Africa,285000.0,5.0,18823000.0,479261000.0
TIMOR-LESTE,East and Southeast Asia,277000.0,4.2,6825000.0,781995000.0
GUYANA,South America,259000.0,4.5,46045000.0,1010000000.0
BELIZE,Central America and the Caribbean,220000.0,8.7,30752000.0,498087000.0
DJIBOUTI,Africa,210000.0,3.6,10428000.0,348725000.0
CABO VERDE,Africa,200000.0,7.6,19999000.0,783106000.0
LIBERIA,Africa,199000.0,2.7,1822000.0,599660000.0
CAYMAN ISLANDS,Central America and the Caribbean,176000.0,2.1,143149000.0,234000000.0
CHAD,Africa,167000.0,2.9,1502000.0,1050000000.0
"GAMBIA, THE",Africa,162000.0,2.8,2731000.0,577028000.0
SOMALIA,Africa,156000.0,0.3,649000.0,30450000.0
SEYCHELLES,Africa,156000.0,5.2,98847000.0,773678000.0
SIERRA LEONE,Africa,149000.0,9.1,2301000.0,495699000.0
ANTIGUA AND BARBUDA,Central America and the Caribbean,148000.0,3.8,110114000.0,358441000.0
SOUTH SUDAN,Africa,136000.0,1.5,2092000.0,72881000.0
BURUNDI,Africa,131000.0,5.0,946000.0,90350000.0
LESOTHO,Africa,104000.0,8.7,8117000.0,854089000.0
SAINT LUCIA,Central America and the Caribbean,93000.0,3.6,47522000.0,406064000.0
